County,FIPS code[5],County seat[6],Est.[6],Formed from,Etymology[7],General Law or Charter[8],Population (July 2019)[9],Area[6],Map
Alameda County,001,Oakland,1853,Contra Costa and Santa Clara,"The oak and other trees, once abundant in the region; alameda is Spanish for ""avenue shaded by trees"" or ""cottonwood grove"".",Charter,"1,671,329","738 sq mi(1,911 km2)",
Alpine County,003,Markleeville,1864,"Amador, El Dorado, Calaveras, Mono and Tuolumne",Location high in the Sierra Nevada; alpine refers to the Alps or other mountains.,General Law,"1,129","739 sq mi(1,914 km2)",
Amador County,005,Jackson,1854,Calaveras,"Jose Maria Amador (1794–1883), a soldier, rancher, and miner who, along with several Native Americans, established a successful gold mining camp near present-day Amador City in 1848.",General Law,"39,752","606 sq mi(1,570 km2)",
Butte County,007,Oroville,1850,original,"Sutter Buttes, which were mistakenly thought to be in the county at the time of its establishment.",Charter,"219,186","1,640 sq mi(4,248 km2)",
Calaveras County,009,San Andreas,1850,original,"Calaveras River; calaveras is Spanish for ""skulls"".",General Law,"45,905","1,020 sq mi(2,642 km2)",
Colusa County,011,Colusa,1850,original,Rancho Colus land grant from Mexico.,General Law,"21,547","1,151 sq mi(2,981 km2)",
Contra Costa County,013,Martinez,1850,original,"Location across San Francisco Bay from San Francisco; contra costa is Spanish for ""opposite coast"".",General Law,"1,153,526","720 sq mi(1,865 km2)",
Del Norte County,015,Crescent City,1857,Klamath,"Location along California's northern border; del norte is Spanish for ""northern"".",General Law,"27,812","1,008 sq mi(2,611 km2)",
El Dorado County,017,Placerville,1850,original,"El Dorado, a mythical city of gold, owing to the area's significance in the California Gold Rush.",Charter,"192,843","1,712 sq mi(4,434 km2)",
Fresno County,019,Fresno,1856,"Mariposa, Merced and Tulare","The city of Fresno; fresno is Spanish for ""ash tree"".",Charter,"999,101","5,963 sq mi(15,444 km2)",
Glenn County,021,Willows,1891,Colusa,"Dr. Hugh J. Glenn, a California businessman and politician.",General Law,"28,393","1,315 sq mi(3,406 km2)",
Humboldt County,023,Eureka,1853,Trinity,"Alexander von Humboldt, a German naturalist and explorer.",General Law,"135,558","3,573 sq mi(9,254 km2)",
Imperial County,025,El Centro,1907,San Diego,"Imperial Valley, named after the Imperial Land Company.",General Law,"181,215","4,175 sq mi(10,813 km2)",
Inyo County,027,Independence,1866,Mono and Tulare,"Exact etymology disputed; early settlers believed Inyo to be the native name for area mountains, but it may be the name of a Mono Indian leader.",General Law,"18,039","10,192 sq mi(26,397 km2)",
Kern County,029,Bakersfield,1866,Los Angeles and Tulare,"Edward Kern, cartographer for John C. Fremont's 1845 expedition.",General Law,"900,202","8,142 sq mi(21,088 km2)",
Kings County,031,Hanford,1893,Tulare,"Kings River; original Spanish name Rio de los Santos Reyes (""River of the Holy Kings"").",General Law,"152,940","1,390 sq mi(3,600 km2)",
Lake County,033,Lakeport,1861,Napa,Clear Lake.,General Law,"64,386","1,258 sq mi(3,258 km2)",
Lassen County,035,Susanville,1864,"Plumas and Shasta, and now defunct Lake County, Nevada","Peter Lassen, a Danish naturalist and explorer.",General Law,"30,573","4,558 sq mi(11,805 km2)",
Los Angeles County,037,Los Angeles,1850,original,"The city of Los Angeles, derived from the original Spanish name El Pueblo de Nuestra Señora la Reina de los Angeles del Río de Porciúncula (""The Village of Our Lady, the Queen of the Angels of the River of Porziuncola"").",Charter,"10,039,107","4,060 sq mi(10,515 km2)",
Madera County,039,Madera,1893,Mariposa,"The city of Madera, which was named for the forested landscape; madera is Spanish for ""wood"".",General Law,"157,327","2,138 sq mi(5,537 km2)",
Marin County,041,San Rafael,1850,original,"Exact etymology disputed; probably a corrupted abbreviation of Bahía de Nuestra Señora del Rosario la Marina, the Spanish name for area headlands along San Francisco Bay.",General Law,"258,826","520 sq mi(1,347 km2)",
Mariposa County,043,Mariposa,1850,original,"The city of Mariposa; mariposa is Spanish for ""butterfly"".",General Law,"17,203","1,451 sq mi(3,758 km2)",
Mendocino County,045,Ukiah,1850,original,"Antonio de Mendoza, first viceroy of New Spain.",General Law,"86,749","3,509 sq mi(9,088 km2)",
Merced County,047,Merced,1855,Mariposa,"The city of Merced, derived from the original Spanish name El Río de Nuestra Señora de la Merced (""River of Our Lady of Mercy"").",General Law,"277,680","1,929 sq mi(4,996 km2)",
Modoc County,049,Alturas,1874,Siskiyou,The Modoc people.,General Law,"8,841","3,944 sq mi(10,215 km2)",
Mono County,051,Bridgeport,1861,"Calaveras, Fresno and Mariposa","Mono Lake; derived from Monachi, a Yokut name for native peoples of the Sierra Nevada.",General Law,"14,444","3,044 sq mi(7,884 km2)",
Monterey County,053,Salinas,1850,original,"Derived from Monterey Bay, which was named for a Viceroy of New Spain, Gaspar de Zúñiga, 5th Count of Monterrey.",General Law,"434,061","3,322 sq mi(8,604 km2)",
Napa County,055,Napa,1850,original,"Disputed origin; possibly derived from the Patwin word napo, meaning ""home"".",General Law,"137,744","754 sq mi(1,953 km2)",
Nevada County,057,Nevada City,1851,Yuba,"The phrase Sierra Nevada; nevada is Spanish for ""snow-covered,"" referencing the area's high elevation.  The neighboring state was named after the county, which was named after Nevada City.",General Law,"99,755","958 sq mi(2,481 km2)",
Orange County,059,Santa Ana,1889,Los Angeles,"Oranges, to illustrate a perception of a region with a semi-tropical atmosphere to those from the eastern parts of the United States.",Charter,"3,175,692","948 sq mi(2,455 km2)",
Placer County,061,Auburn,1851,Sacramento,"California Gold Rush, a reference to the area being a center of the California Gold Rush.",Charter,"398,329","1,407 sq mi(3,644 km2)",
Plumas County,063,Quincy,1854,Butte,"The Feather River; plumas is Spanish for ""feathers"".",General Law,"18,807","2,554 sq mi(6,615 km2)",
Riverside County,065,Riverside,1893,San Bernardino and San Diego,"The city of Riverside, named for its location on the Santa Ana River.",General Law,"2,470,546","7,208 sq mi(18,669 km2)",
Sacramento County,067,Sacramento,1850,original,"The city of Sacramento, named after the Santísimo Sacramento (Spanish for ""Most Holy Sacrament"").",Charter,"1,552,058","966 sq mi(2,502 km2)",
San Benito County,069,Hollister,1874,Monterey,Saint Benedict (Benito is a Spanish diminutive of Benedict).,General Law,"62,808","1,389 sq mi(3,597 km2)",
San Bernardino County,071,San Bernardino,1853,Los Angeles,"The city of San Bernardino, named after Saint Bernardino of Siena (Spanish for Saint Bernardine).",Charter,"2,180,085","20,062 sq mi(51,960 km2)",
San Diego County,073,San Diego,1850,original,"The city of San Diego, from Mission San Diego (Spanish for Saint Didacus).",Charter,"3,338,330","4,204 sq mi(10,888 km2)",
San Francisco,075,San Francisco,1850,original,"The city of San Francisco, from Presidio of San Francisco and Mission San Francisco de Asís, named after Saint Francis of Assisi (Spanish for Saint Francis).",Charter,"881,549",47 sq mi(122 km2),
San Joaquin County,077,Stockton,1850,original,"Spanish for Saint Joachim, father of the Virgin Mary.",General Law,"762,148","1,399 sq mi(3,623 km2)",
San Luis Obispo County,079,San Luis Obispo,1850,original,"The city of San Luis Obispo, from Mission San Luis Obispo, named after Saint Louis of Toulouse (Spanish for Saint Louis, the Bishop).",General Law,"283,111","3,304 sq mi(8,557 km2)",
San Mateo County,081,Redwood City,1856,San Francisco and Santa Cruz,Spanish for Saint Matthew.,Charter,"766,573","449 sq mi(1,163 km2)",
Santa Barbara County,083,Santa Barbara,1850,original,"The city of Santa Barbara, from Mission Santa Barbara, (Spanish for Saint Barbara).",General Law,"446,499","2,738 sq mi(7,091 km2)",
Santa Clara County,085,San Jose,1850,original,"City of Santa Clara, from Mission Santa Clara de Asís, named for Saint Clare of Assisi (Spanish for Saint Clare).",Charter,"1,927,852","1,291 sq mi(3,344 km2)",
Santa Cruz County,087,Santa Cruz,1850,original,"The city of Santa Cruz, from Mission Santa Cruz (Spanish for ""holy cross"").",General Law,"273,213","446 sq mi(1,155 km2)",
Shasta County,089,Redding,1850,original,Mount Shasta; the indigenous Shasta people.,General Law,"180,080","3,786 sq mi(9,806 km2)",
Sierra County,091,Downieville,1852,Yuba,"Sierra is Spanish for ""mountain range"", a reference to the area's topography.",General Law,"3,005","953 sq mi(2,468 km2)",
Siskiyou County,093,Yreka,1852,Shasta and Klamath,Siskiyou Mountains; exact etymology of Siskiyou is disputed.,General Law,"43,539","6,287 sq mi(16,283 km2)",
Solano County,095,Fairfield,1850,original,Chief Solano of the Suisunes.,General Law,"447,643","828 sq mi(2,145 km2)",
Sonoma County,097,Santa Rosa,1850,original,"Exact etymology disputed; probably a Pomo term meaning ""valley of the moon,"" which references a native legend about spiritual activity in the area.",General Law,"494,336","1,576 sq mi(4,082 km2)",
Stanislaus County,099,Modesto,1854,Tuolumne,"Stanislaus River, named after Estanislao, a native of the area when California was under Spanish and Mexican rule.",General Law,"550,660","1,495 sq mi(3,872 km2)",
Sutter County,101,Yuba City,1850,original,"John Sutter, a Swiss pioneer of California associated with the California Gold Rush.",General Law,"96,971","603 sq mi(1,562 km2)",
Tehama County,103,Red Bluff,1856,"Butte, Colusa and Shasta","The city of Tehama, probably a native term describing its location.",Charter,"65,084","2,951 sq mi(7,643 km2)",
Trinity County,105,Weaverville,1850,original,"The city of Trinidad, Spanish for ""trinity"".",General Law,"12,285","3,179 sq mi(8,234 km2)",
Tulare County,107,Visalia,1852,Mariposa,"Tulare Lake, which is named after the tule rush (Schoenoplectus acutus) that grew in the marshes and sloughs along its shores.",General Law,"466,195","4,824 sq mi(12,494 km2)",
Tuolumne County,109,Sonora,1850,original,"Exact etymology disputed; probably a corruption of the native term talmalamne, which means ""cluster of stone wigwams,"" a reference to local cave dwelling tribes.",General Law,"54,478","2,236 sq mi(5,791 km2)",
Ventura County,111,Ventura,1872,Santa Barbara,"The city of Ventura, derived from Mission San Buenaventura (Spanish for St. Bonaventure).",General Law,"846,006","1,846 sq mi(4,781 km2)",
Yolo County,113,Woodland,1850,original,"The Yolan people, a local Native American tribe.",General Law,"220,500","1,012 sq mi(2,621 km2)",
Yuba County,115,Marysville,1850,original,"Named either by the Maidu people, a local Native American tribe who live on the banks of the Feather and Yuba Rivers, for one of their villages, or by Gabriel Moraga for the wild grapes (Vitis californica) that grow abundantly at the edge of the rivers (uva is Spanish for ""grape"").",General Law,"78,668","630 sq mi(1,632 km2)",
