Index,State,County,Latitude,Longitude
186,CA,Alameda,+37.648081°,–121.913304°
187,CA,Alpine,+38.617610°,–119.798999°
188,CA,Amador,+38.443550°,–120.653856°
189,CA,Butte,+39.665959°,–121.601919°
190,CA,Calaveras,+38.187844°,–120.555115°
191,CA,Colusa,+39.177739°,–122.237563°
192,CA,Contra Costa,+37.919479°,–121.951543°
193,CA,Del Norte,+41.749903°,–123.980998°
194,CA,El Dorado,+38.785532°,–120.534398°
195,CA,Fresno,+36.761006°,–119.655019°
196,CA,Glenn,+39.602546°,–122.401700°
197,CA,Humboldt,+40.706673°,–123.925818°
198,CA,Imperial,+33.040816°,–115.355395°
199,CA,Inyo,+36.561977°,–117.403927°
200,CA,Kern,+35.346629°,–118.729506°
201,CA,Kings,+36.072478°,–119.815530°
202,CA,Lake,+39.094802°,–122.746757°
203,CA,Lassen,+40.721089°,–120.629931°
204,CA,Los Angeles,+34.196398°,–118.261862°
205,CA,Madera,+37.210039°,–119.749852°
206,CA,Marin,+38.051817°,–122.745974°
207,CA,Mariposa,+37.570034°,–119.912860°
208,CA,Mendocino,+39.432388°,–123.442881°
209,CA,Merced,+37.194806°,–120.722802°
210,CA,Modoc,+41.592919°,–120.718370°
211,CA,Mono,+37.915836°,–118.875167°
212,CA,Monterey,+36.240107°,–121.315573°
213,CA,Napa,+38.507351°,–122.325995°
214,CA,Nevada,+39.295191°,–120.773446°
215,CA,Orange,+33.675687°,–117.777207°
216,CA,Placer,+39.062032°,–120.722718°
217,CA,Plumas,+39.995170°,–120.829516°
218,CA,Riverside,+33.729828°,–116.002239°
219,CA,Sacramento,+38.450011°,–121.340441°
220,CA,San Benito,+36.610702°,–121.085296°
221,CA,San Bernardino,+34.857220°,–116.181197°
222,CA,San Diego,+33.023604°,–116.776117°
223,CA,San Francisco,+37.727239°,–123.032229°
224,CA,San Joaquin,+37.935034°,–121.272237°
225,CA,San Luis Obispo,+35.385227°,–120.447540°
226,CA,San Mateo,+37.414664°,–122.371542°
227,CA,Santa Barbara,+34.537378°,–120.038485°
228,CA,Santa Clara,+37.220777°,–121.690622°
229,CA,Santa Cruz,+37.012488°,–122.007205°
230,CA,Shasta,+40.760522°,–122.043550°
231,CA,Sierra,+39.576925°,–120.521993°
232,CA,Siskiyou,+41.587986°,–122.533287°
233,CA,Solano,+38.267226°,–121.939594°
234,CA,Sonoma,+38.532574°,–122.945194°
235,CA,Stanislaus,+37.562384°,–121.002656°
236,CA,Sutter,+39.035257°,–121.702758°
237,CA,Tehama,+40.126156°,–122.232276°
238,CA,Trinity,+40.647724°,–123.114404°
239,CA,Tulare,+36.230453°,–118.780542°
240,CA,Tuolumne,+38.021451°,–119.964708°
241,CA,Ventura,+34.358742°,–119.133143°
242,CA,Yolo,+38.679268°,–121.903178°
243,CA,Yuba,+39.270026°,–121.344280°
